序号,设备编号,设备类型,车间,工序编号,分配工程量,起始时间,结束时间,持续工作时间(s),运输起点,运输时间(s),等待时间(s)
46,精密灌装机1-4,精密灌装机,E,E2,120.000,02:11:45,02:32:20,1235,A,700,0
47,精密灌装机1-5,精密灌装机,E,E2,120.000,02:11:45,02:32:20,1235,A,700,0
48,精密灌装机1-1,精密灌装机,D,D2,160.000,02:40:55,03:28:55,2880,E,515,0
49,精密灌装机1-2,精密灌装机,D,D2,160.000,02:40:55,03:28:55,2880,E,515,0
50,精密灌装机1-3,精密灌装机,D,D2,160.000,02:40:55,03:28:55,2880,E,515,0
51,精密灌装机1-4,精密灌装机,D,D2,160.000,02:40:55,03:28:55,2880,E,515,0
52,精密灌装机1-5,精密灌装机,D,D2,160.000,02:40:55,03:28:55,2880,E,515,0
53,自动化输送臂1-1,自动化输送臂,D,D2,200.000,02:40:55,03:20:55,2400,A,450,2000
54,自动化输送臂1-2,自动化输送臂,D,D2,200.000,02:40:55,03:20:55,2400,A,450,2000
55,自动化输送臂1-3,自动化输送臂,D,D2,200.000,02:40:55,03:20:55,2400,A,450,2000
56,自动化输送臂1-4,自动化输送臂,D,D2,200.000,02:40:55,03:20:55,2400,A,450,2000
57,工业清洗机1-1,工业清洗机,E,E3,200.000,02:47:17,04:47:17,7200,D,515,0
58,工业清洗机1-3,工业清洗机,E,E3,200.000,02:47:17,04:47:17,7200,D,515,0
59,工业清洗机1-5,工业清洗机,E,E3,200.000,02:47:17,04:47:17,7200,D,515,0
60,自动传感多功能机1-1,自动传感多功能机,E,E3,600.000,02:47:17,04:47:17,7200,班组1,200,9837
61,精密灌装机1-1,精密灌装机,D,D3,90.000,03:28:55,03:44:21,926,D,0,0
62,精密灌装机1-2,精密灌装机,D,D3,90.000,03:28:55,03:44:21,926,D,0,0
63,精密灌装机1-3,精密灌装机,D,D3,90.000,03:28:55,03:44:21,926,D,0,0
64,精密灌装机1-4,精密灌装机,D,D3,90.000,03:28:55,03:44:21,926,D,0,0
65,精密灌装机1-5,精密灌装机,D,D3,90.000,03:28:55,03:44:21,926,D,0,0
66,精密灌装机1-1,精密灌装机,B,B2,300.000,03:57:56,05:27:56,5400,D,815,0
67,精密灌装机1-2,精密灌装机,B,B2,300.000,03:57:56,05:27:56,5400,D,815,0
68,精密灌装机1-3,精密灌装机,B,B2,300.000,03:57:56,05:27:56,5400,D,815,0
69,精密灌装机1-4,精密灌装机,B,B2,300.000,03:57:56,05:27:56,5400,D,815,0
70,精密灌装机1-5,精密灌装机,B,B2,300.000,03:57:56,05:27:56,5400,D,815,0
71,自动化输送臂1-1,自动化输送臂,B,B2,375.000,03:57:56,05:12:56,4500,D,815,1406
72,自动化输送臂1-2,自动化输送臂,B,B2,375.000,03:57:56,05:12:56,4500,D,815,1406
73,自动化输送臂1-3,自动化输送臂,B,B2,375.000,03:57:56,05:12:56,4500,D,815,1406
74,自动化输送臂1-4,自动化输送臂,B,B2,375.000,03:57:56,05:12:56,4500,D,815,1406
75,自动传感多功能机1-1,自动传感多功能机,D,D4,1500.000,04:57:40,09:57:40,18000,E,515,108
76,高速抛光机1-1,高速抛光机,D,D4,1500.000,04:57:40,17:27:40,45000,C,260,0
77,精密灌装机1-1,精密灌装机,B,B3,72.000,05:27:56,05:40:17,741,B,0,0
78,精密灌装机1-2,精密灌装机,B,B3,72.000,05:27:56,05:40:17,741,B,0,0
79,精密灌装机1-3,精密灌装机,B,B3,72.000,05:27:56,05:40:17,741,B,0,0
80,精密灌装机1-4,精密灌装机,B,B3,72.000,05:27:56,05:40:17,741,B,0,0
81,精密灌装机1-5,精密灌装机,B,B3,72.000,05:27:56,05:40:17,741,B,0,0
82,自动传感多功能机1-1,自动传感多功能机,C,C5-1,400.000,10:02:00,14:02:00,14400,D,260,0
83,精密灌装机1-1,精密灌装机,C,C3-2,72.000,14:02:00,14:23:36,1296,B,550,29553
84,精密灌装机1-2,精密灌装机,C,C3-2,72.000,14:02:00,14:23:36,1296,B,550,29553
85,精密灌装机1-3,精密灌装机,C,C3-2,72.000,14:02:00,14:23:36,1296,B,550,29553
86,精密灌装机1-4,精密灌装机,C,C3-2,72.000,14:02:00,14:23:36,1296,B,550,29553
87,精密灌装机1-5,精密灌装机,C,C3-2,72.000,14:02:00,14:23:36,1296,B,550,29553
88,自动化输送臂1-1,自动化输送臂,C,C3-2,90.000,14:02:00,14:23:36,1296,B,550,31194
89,自动化输送臂1-2,自动化输送臂,C,C3-2,90.000,14:02:00,14:23:36,1296,B,550,31194
90,自动化输送臂1-3,自动化输送臂,C,C3-2,90.000,14:02:00,14:23:36,1296,B,550,31194
91,自动化输送臂1-4,自动化输送臂,C,C3-2,90.000,14:02:00,14:23:36,1296,B,550,31194
92,自动传感多功能机1-1,自动传感多功能机,D,D5,1500.000,17:27:40,22:27:40,18000,C,260,12080
93,工业清洗机1-1,工业清洗机,C,C4-2,200.000,17:32:00,19:32:00,7200,E,425,45458
94,工业清洗机1-2,工业清洗机,C,C4-2,200.000,17:32:00,19:32:00,7200,C,0,43120
95,高速抛光机1-1,高速抛光机,C,C4-2,400.000,17:32:00,20:52:00,12000,D,260,0
96,工业清洗机1-1,工业清洗机,A,A2,500.000,21:00:45,23:00:45,7200,C,525,4800
97,高速抛光机1-1,高速抛光机,A,A2,500.000,21:00:45,26:00:45,18000,C,525,0
98,自动传感多功能机1-1,自动传感多功能机,C,C5-2,400.000,22:32:00,26:32:00,14400,D,260,0
99,精密灌装机1-1,精密灌装机,C,C3-3,72.000,26:32:00,26:53:36,1296,C,0,43704
100,精密灌装机1-2,精密灌装机,C,C3-3,72.000,26:32:00,26:53:36,1296,C,0,43704
101,精密灌装机1-3,精密灌装机,C,C3-3,72.000,26:32:00,26:53:36,1296,C,0,43704
102,精密灌装机1-4,精密灌装机,C,C3-3,72.000,26:32:00,26:53:36,1296,C,0,43704
103,精密灌装机1-5,精密灌装机,C,C3-3,72.000,26:32:00,26:53:36,1296,C,0,43704
104,自动化输送臂1-1,自动化输送臂,C,C3-3,90.000,26:32:00,26:53:36,1296,C,0,43704
105,自动化输送臂1-2,自动化输送臂,C,C3-3,90.000,26:32:00,26:53:36,1296,C,0,43704
106,自动化输送臂1-3,自动化输送臂,C,C3-3,90.000,26:32:00,26:53:36,1296,C,0,43704
107,自动化输送臂1-4,自动化输送臂,C,C3-3,90.000,26:32:00,26:53:36,1296,C,0,43704
108,自动传感多功能机1-1,自动传感多功能机,B,B4,360.000,26:41:10,30:17:10,12960,C,550,0
109,高速抛光机1-1,高速抛光机,B,B4,360.000,26:41:10,29:41:10,10800,A,510,1915
110,工业清洗机1-1,工业清洗机,C,C4-3,80.000,29:50:20,30:38:20,2880,A,525,24050
111,工业清洗机1-2,工业清洗机,C,C4-3,80.000,29:50:20,30:38:20,2880,C,0,37100
112,工业清洗机1-3,工业清洗机,C,C4-3,80.000,29:50:20,30:38:20,2880,E,425,89758
113,工业清洗机1-4,工业清洗机,C,C4-3,80.000,29:50:20,30:38:20,2880,D,260,97638
114,工业清洗机1-5,工业清洗机,C,C4-3,80.000,29:50:20,30:38:20,2880,E,425,89758
115,高速抛光机1-1,高速抛光机,C,C4-3,400.000,29:50:20,33:10:20,12000,B,550,0
116,自动传感多功能机1-1,自动传感多功能机,A,A3,500.000,30:25:40,35:25:40,18000,B,510,0
117,高速抛光机1-1,高速抛光机,D,D6,700.000,33:14:40,40:14:40,25200,C,260,0
118,自动传感多功能机1-1,自动传感多功能机,C,C5-3,400.000,35:34:25,39:34:25,14400,A,525,0
