序号,设备编号,起始时间,结束时间,持续工作时间(s),工序编号,班组
46,精密灌装机2-5,00:39:07,00:49:55,648,C3-1,班组2
47,自动化输送臂1-1,00:39:07,00:49:55,648,C3-1,班组1
48,自动化输送臂1-2,00:39:07,00:49:55,648,C3-1,班组1
49,自动化输送臂1-3,00:39:07,00:49:55,648,C3-1,班组1
50,自动化输送臂1-4,00:39:07,00:49:55,648,C3-1,班组1
51,自动化输送臂2-1,00:39:07,00:49:55,648,C3-1,班组2
52,自动化输送臂2-2,00:39:07,00:49:55,648,C3-1,班组2
53,自动化输送臂2-3,00:39:07,00:49:55,648,C3-1,班组2
54,自动化输送臂2-4,00:39:07,00:49:55,648,C3-1,班组2
55,工业清洗机2-2,00:49:55,02:49:55,7200,C4-1,班组2
56,工业清洗机2-3,00:49:55,02:49:55,7200,C4-1,班组2
57,高速抛光机1-1,00:49:55,02:29:55,6000,C4-1,班组1
58,高速抛光机2-1,00:49:55,02:29:55,6000,C4-1,班组2
59,精密灌装机1-1,00:58:40,01:21:10,1350,A1,班组1
60,精密灌装机1-5,00:58:40,01:21:10,1350,A1,班组1
61,精密灌装机2-4,00:58:40,01:21:10,1350,A1,班组2
62,精密灌装机2-5,00:58:40,01:21:10,1350,A1,班组2
63,自动化输送臂1-1,00:58:40,01:07:40,540,A1,班组1
64,自动化输送臂1-2,00:58:40,01:07:40,540,A1,班组1
65,自动化输送臂1-3,00:58:40,01:07:40,540,A1,班组1
66,自动化输送臂1-4,00:58:40,01:07:40,540,A1,班组1
67,自动化输送臂2-1,00:58:40,01:07:40,540,A1,班组2
68,自动化输送臂2-2,00:58:40,01:07:40,540,A1,班组2
69,自动化输送臂2-3,00:58:40,01:07:40,540,A1,班组2
70,自动化输送臂2-4,00:58:40,01:07:40,540,A1,班组2
71,精密灌装机1-2,01:03:51,01:21:00,1029,E2,班组1
72,精密灌装机1-3,01:03:51,01:21:00,1029,E2,班组1
73,精密灌装机1-4,01:03:51,01:21:00,1029,E2,班组1
74,精密灌装机2-1,01:03:51,01:21:00,1029,E2,班组2
75,精密灌装机2-2,01:03:51,01:21:00,1029,E2,班组2
76,精密灌装机2-3,01:03:51,01:21:00,1029,E2,班组2
77,工业清洗机1-1,01:12:26,01:41:14,1728,D1,班组1
78,工业清洗机1-4,01:12:26,01:41:14,1728,D1,班组1
79,工业清洗机1-5,01:12:26,01:41:14,1728,D1,班组1
80,工业清洗机2-1,01:12:26,01:41:14,1728,D1,班组2
81,工业清洗机2-4,01:12:26,01:41:14,1728,D1,班组2
82,工业清洗机1-2,01:21:00,03:21:00,7200,E3,班组1
83,工业清洗机1-3,01:21:00,03:21:00,7200,E3,班组1
84,工业清洗机2-5,01:21:00,03:21:00,7200,E3,班组2
85,自动传感多功能机1-1,01:21:00,02:21:00,3600,E3,班组1
86,自动传感多功能机2-1,01:21:00,02:21:00,3600,E3,班组2
87,精密灌装机1-1,01:41:14,02:05:14,1440,D2,班组1
88,精密灌装机1-2,01:41:14,02:05:14,1440,D2,班组1
89,精密灌装机1-3,01:41:14,02:05:14,1440,D2,班组1
90,精密灌装机1-4,01:41:14,02:05:14,1440,D2,班组1
91,精密灌装机1-5,01:41:14,02:05:14,1440,D2,班组1
92,精密灌装机2-1,01:41:14,02:05:14,1440,D2,班组2
93,精密灌装机2-2,01:41:14,02:05:14,1440,D2,班组2
94,精密灌装机2-3,01:41:14,02:05:14,1440,D2,班组2
95,精密灌装机2-4,01:41:14,02:05:14,1440,D2,班组2
96,精密灌装机2-5,01:41:14,02:05:14,1440,D2,班组2
97,自动化输送臂1-1,01:41:14,02:04:06,1372,D2,班组1
98,自动化输送臂1-2,01:41:14,02:04:06,1372,D2,班组1
99,自动化输送臂1-3,01:41:14,02:04:06,1372,D2,班组1
100,自动化输送臂1-4,01:41:14,02:04:06,1372,D2,班组1
101,自动化输送臂2-1,01:41:14,02:04:06,1372,D2,班组2
102,自动化输送臂2-2,01:41:14,02:04:06,1372,D2,班组2
103,自动化输送臂2-3,01:41:14,02:04:06,1372,D2,班组2
104,精密灌装机1-1,02:05:14,02:12:57,463,D3,班组1
105,精密灌装机1-2,02:05:14,02:12:57,463,D3,班组1
106,精密灌装机1-3,02:05:14,02:12:57,463,D3,班组1
107,精密灌装机1-4,02:05:14,02:12:57,463,D3,班组1
108,精密灌装机1-5,02:05:14,02:12:57,463,D3,班组1
109,精密灌装机2-1,02:05:14,02:12:57,463,D3,班组2
110,精密灌装机2-2,02:05:14,02:12:57,463,D3,班组2
111,精密灌装机2-3,02:05:14,02:12:57,463,D3,班组2
112,精密灌装机2-4,02:05:14,02:12:57,463,D3,班组2
113,精密灌装机2-5,02:05:14,02:12:57,463,D3,班组2
114,精密灌装机1-1,02:26:32,03:11:32,2700,B2,班组1
115,精密灌装机1-2,02:26:32,03:11:32,2700,B2,班组1
116,精密灌装机1-3,02:26:32,03:11:32,2700,B2,班组1
117,精密灌装机1-4,02:26:32,03:11:32,2700,B2,班组1
118,精密灌装机1-5,02:26:32,03:11:32,2700,B2,班组1
119,精密灌装机2-1,02:26:32,03:11:32,2700,B2,班组2
120,精密灌装机2-2,02:26:32,03:11:32,2700,B2,班组2
121,精密灌装机2-3,02:26:32,03:11:32,2700,B2,班组2
122,精密灌装机2-4,02:26:32,03:11:32,2700,B2,班组2
123,精密灌装机2-5,02:26:32,03:11:32,2700,B2,班组2
124,自动化输送臂1-1,02:26:32,03:09:24,2572,B2,班组1
125,自动化输送臂1-2,02:26:32,03:09:24,2572,B2,班组1
126,自动化输送臂1-3,02:26:32,03:09:24,2572,B2,班组1
127,自动化输送臂1-4,02:26:32,03:09:24,2572,B2,班组1
128,自动化输送臂2-1,02:26:32,03:09:24,2572,B2,班组2
129,自动化输送臂2-2,02:26:32,03:09:24,2572,B2,班组2
130,自动化输送臂2-3,02:26:32,03:09:24,2572,B2,班组2
131,自动传感多功能机2-1,02:34:15,07:34:15,18000,D4,班组2
132,高速抛光机1-1,02:34:15,08:49:15,22500,D4,班组1
133,高速抛光机2-1,02:34:15,08:49:15,22500,D4,班组2
134,自动传感多功能机1-1,02:49:55,06:49:55,14400,C5-1,班组1
135,精密灌装机1-1,03:11:32,03:17:43,371,B3,班组1
136,精密灌装机1-2,03:11:32,03:17:43,371,B3,班组1
137,精密灌装机1-3,03:11:32,03:17:43,371,B3,班组1
138,精密灌装机1-4,03:11:32,03:17:43,371,B3,班组1
139,精密灌装机1-5,03:11:32,03:17:43,371,B3,班组1
140,精密灌装机2-1,03:11:32,03:17:43,371,B3,班组2
141,精密灌装机2-2,03:11:32,03:17:43,371,B3,班组2
142,精密灌装机2-3,03:11:32,03:17:43,371,B3,班组2
143,精密灌装机2-4,03:11:32,03:17:43,371,B3,班组2
144,精密灌装机2-5,03:11:32,03:17:43,371,B3,班组2
145,精密灌装机1-1,06:49:55,07:00:43,648,C3-2,班组1
146,精密灌装机1-2,06:49:55,07:00:43,648,C3-2,班组1
147,精密灌装机1-3,06:49:55,07:00:43,648,C3-2,班组1
148,精密灌装机1-4,06:49:55,07:00:43,648,C3-2,班组1
149,精密灌装机1-5,06:49:55,07:00:43,648,C3-2,班组1
150,精密灌装机2-1,06:49:55,07:00:43,648,C3-2,班组2
151,精密灌装机2-2,06:49:55,07:00:43,648,C3-2,班组2
152,精密灌装机2-3,06:49:55,07:00:43,648,C3-2,班组2
153,精密灌装机2-4,06:49:55,07:00:43,648,C3-2,班组2
154,精密灌装机2-5,06:49:55,07:00:43,648,C3-2,班组2
155,自动化输送臂1-1,06:49:55,07:00:43,648,C3-2,班组1
156,自动化输送臂1-2,06:49:55,07:00:43,648,C3-2,班组1
157,自动化输送臂1-3,06:49:55,07:00:43,648,C3-2,班组1
158,自动化输送臂1-4,06:49:55,07:00:43,648,C3-2,班组1
159,自动化输送臂2-1,06:49:55,07:00:43,648,C3-2,班组2
160,自动化输送臂2-2,06:49:55,07:00:43,648,C3-2,班组2
161,自动化输送臂2-3,06:49:55,07:00:43,648,C3-2,班组2
162,自动化输送臂2-4,06:49:55,07:00:43,648,C3-2,班组2
163,自动传感多功能机1-1,08:49:15,11:19:15,9000,D5,班组1
164,自动传感多功能机2-1,08:49:15,11:19:15,9000,D5,班组2
165,工业清洗机1-3,08:53:35,09:41:35,2880,C4-2,班组1
166,工业清洗机1-4,08:53:35,09:41:35,2880,C4-2,班组1
167,工业清洗机2-1,08:53:35,09:41:35,2880,C4-2,班组2
168,工业清洗机2-2,08:53:35,09:41:35,2880,C4-2,班组2
169,工业清洗机2-4,08:53:35,09:41:35,2880,C4-2,班组2
170,高速抛光机1-1,08:53:35,10:33:35,6000,C4-2,班组1
171,高速抛光机2-1,08:53:35,10:33:35,6000,C4-2,班组2
172,工业清洗机1-2,10:42:20,11:42:20,3600,A2,班组1
173,工业清洗机2-4,10:42:20,11:42:20,3600,A2,班组2
174,高速抛光机1-1,10:42:20,13:12:20,9000,A2,班组1
175,高速抛光机2-1,10:42:20,13:12:20,9000,A2,班组2
176,自动传感多功能机1-1,11:23:35,13:23:35,7200,C5-2,班组1
177,自动传感多功能机2-1,11:23:35,13:23:35,7200,C5-2,班组2
178,精密灌装机1-1,13:23:35,13:34:23,648,C3-3,班组1
179,精密灌装机1-2,13:23:35,13:34:23,648,C3-3,班组1
180,精密灌装机1-3,13:23:35,13:34:23,648,C3-3,班组1
181,精密灌装机1-4,13:23:35,13:34:23,648,C3-3,班组1
182,精密灌装机1-5,13:23:35,13:34:23,648,C3-3,班组1
183,精密灌装机2-1,13:23:35,13:34:23,648,C3-3,班组2
184,精密灌装机2-2,13:23:35,13:34:23,648,C3-3,班组2
185,精密灌装机2-3,13:23:35,13:34:23,648,C3-3,班组2
186,精密灌装机2-4,13:23:35,13:34:23,648,C3-3,班组2
187,精密灌装机2-5,13:23:35,13:34:23,648,C3-3,班组2
188,自动化输送臂1-1,13:23:35,13:34:23,648,C3-3,班组1
189,自动化输送臂1-2,13:23:35,13:34:23,648,C3-3,班组1
190,自动化输送臂1-3,13:23:35,13:34:23,648,C3-3,班组1
191,自动化输送臂1-4,13:23:35,13:34:23,648,C3-3,班组1
192,自动化输送臂2-1,13:23:35,13:34:23,648,C3-3,班组2
193,自动化输送臂2-2,13:23:35,13:34:23,648,C3-3,班组2
194,自动化输送臂2-3,13:23:35,13:34:23,648,C3-3,班组2
195,自动化输送臂2-4,13:23:35,13:34:23,648,C3-3,班组2
196,自动传感多功能机1-1,13:32:45,15:20:45,6480,B4,班组1
197,自动传感多功能机2-1,13:32:45,15:20:45,6480,B4,班组2
198,高速抛光机1-1,13:32:45,15:02:45,5400,B4,班组1
199,高速抛光机2-1,13:32:45,15:02:45,5400,B4,班组2
200,工业清洗机1-1,15:11:55,15:38:35,1600,C4-3,班组1
201,工业清洗机1-2,15:11:55,15:38:35,1600,C4-3,班组1
202,工业清洗机1-3,15:11:55,15:38:35,1600,C4-3,班组1
203,工业清洗机1-5,15:11:55,15:38:35,1600,C4-3,班组1
204,工业清洗机2-1,15:11:55,15:38:35,1600,C4-3,班组2
205,工业清洗机2-2,15:11:55,15:38:35,1600,C4-3,班组2
206,工业清洗机2-3,15:11:55,15:38:35,1600,C4-3,班组2
207,工业清洗机2-4,15:11:55,15:38:35,1600,C4-3,班组2
208,工业清洗机2-5,15:11:55,15:38:35,1600,C4-3,班组2
209,高速抛光机1-1,15:11:55,16:51:55,6000,C4-3,班组1
210,高速抛光机2-1,15:11:55,16:51:55,6000,C4-3,班组2
211,自动传感多功能机1-1,15:29:15,17:59:15,9000,A3,班组1
212,自动传感多功能机2-1,15:29:15,17:59:15,9000,A3,班组2
213,高速抛光机1-1,16:56:15,20:26:15,12600,D6,班组1
214,高速抛光机2-1,16:56:15,20:26:15,12600,D6,班组2
215,自动传感多功能机1-1,18:08:00,20:08:00,7200,C5-3,班组1
216,自动传感多功能机2-1,18:08:00,20:08:00,7200,C5-3,班组2
