序号,设备编号,设备类型,班组,车间,工序编号,分配工程量,起始时间,结束时间,持续工作时间(s),运输起点,运输时间(s),等待时间(s)
36,工业清洗机2-5,工业清洗机,班组2,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
37,精密灌装机1-1,精密灌装机,班组1,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
38,精密灌装机1-2,精密灌装机,班组1,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
39,精密灌装机1-3,精密灌装机,班组1,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
40,精密灌装机1-4,精密灌装机,班组1,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
41,精密灌装机1-5,精密灌装机,班组1,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
42,精密灌装机2-1,精密灌装机,班组2,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
43,精密灌装机2-2,精密灌装机,班组2,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
44,精密灌装机2-3,精密灌装机,班组2,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
45,精密灌装机2-4,精密灌装机,班组2,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
46,精密灌装机2-5,精密灌装机,班组2,C,C3-1,36.000,00:39:07,00:49:55,648,C,0,0
47,自动化输送臂1-1,自动化输送臂,班组1,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
48,自动化输送臂1-2,自动化输送臂,班组1,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
49,自动化输送臂1-3,自动化输送臂,班组1,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
50,自动化输送臂1-4,自动化输送臂,班组1,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
51,自动化输送臂2-1,自动化输送臂,班组2,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
52,自动化输送臂2-2,自动化输送臂,班组2,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
53,自动化输送臂2-3,自动化输送臂,班组2,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
54,自动化输送臂2-4,自动化输送臂,班组2,C,C3-1,45.000,00:39:07,00:49:55,648,C,0,741
55,工业清洗机2-2,工业清洗机,班组2,C,C4-1,200.000,00:49:55,02:49:55,7200,B,550,55
56,工业清洗机2-3,工业清洗机,班组2,C,C4-1,200.000,00:49:55,02:49:55,7200,B,550,55
57,高速抛光机1-1,高速抛光机,班组1,C,C4-1,200.000,00:49:55,02:29:55,6000,班组1,230,2765
58,高速抛光机2-1,高速抛光机,班组2,C,C4-1,200.000,00:49:55,02:29:55,6000,班组2,310,2685
59,精密灌装机1-1,精密灌装机,班组1,A,A1,75.000,00:58:40,01:21:10,1350,C,525,0
60,精密灌装机1-5,精密灌装机,班组1,A,A1,75.000,00:58:40,01:21:10,1350,C,525,0
61,精密灌装机2-4,精密灌装机,班组2,A,A1,75.000,00:58:40,01:21:10,1350,C,525,0
62,精密灌装机2-5,精密灌装机,班组2,A,A1,75.000,00:58:40,01:21:10,1350,C,525,0
63,自动化输送臂1-1,自动化输送臂,班组1,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
64,自动化输送臂1-2,自动化输送臂,班组1,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
65,自动化输送臂1-3,自动化输送臂,班组1,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
66,自动化输送臂1-4,自动化输送臂,班组1,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
67,自动化输送臂2-1,自动化输送臂,班组2,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
68,自动化输送臂2-2,自动化输送臂,班组2,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
69,自动化输送臂2-3,自动化输送臂,班组2,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
70,自动化输送臂2-4,自动化输送臂,班组2,A,A1,37.500,00:58:40,01:07:40,540,C,525,0
71,精密灌装机1-2,精密灌装机,班组1,E,E2,100.000,01:03:51,01:21:00,1029,C,425,411
72,精密灌装机1-3,精密灌装机,班组1,E,E2,100.000,01:03:51,01:21:00,1029,C,425,411
73,精密灌装机1-4,精密灌装机,班组1,E,E2,100.000,01:03:51,01:21:00,1029,C,425,411
74,精密灌装机2-1,精密灌装机,班组2,E,E2,100.000,01:03:51,01:21:00,1029,C,425,411
75,精密灌装机2-2,精密灌装机,班组2,E,E2,100.000,01:03:51,01:21:00,1029,C,425,411
76,精密灌装机2-3,精密灌装机,班组2,E,E2,100.000,01:03:51,01:21:00,1029,C,425,411
77,工业清洗机1-1,工业清洗机,班组1,D,D1,120.000,01:12:26,01:41:14,1728,E,515,0
78,工业清洗机1-4,工业清洗机,班组1,D,D1,120.000,01:12:26,01:41:14,1728,E,515,0
79,工业清洗机1-5,工业清洗机,班组1,D,D1,120.000,01:12:26,01:41:14,1728,E,515,0
80,工业清洗机2-1,工业清洗机,班组2,D,D1,120.000,01:12:26,01:41:14,1728,E,515,0
81,工业清洗机2-4,工业清洗机,班组2,D,D1,120.000,01:12:26,01:41:14,1728,E,515,0
82,工业清洗机1-2,工业清洗机,班组1,E,E3,200.000,01:21:00,03:21:00,7200,E,0,1029
83,工业清洗机1-3,工业清洗机,班组1,E,E3,200.000,01:21:00,03:21:00,7200,E,0,1029
84,工业清洗机2-5,工业清洗机,班组2,E,E3,200.000,01:21:00,03:21:00,7200,E,0,1029
85,自动传感多功能机1-1,自动传感多功能机,班组1,E,E3,300.000,01:21:00,02:21:00,3600,班组1,200,4660
86,自动传感多功能机2-1,自动传感多功能机,班组2,E,E3,300.000,01:21:00,02:21:00,3600,班组2,275,4585
87,精密灌装机1-1,精密灌装机,班组1,D,D2,80.000,01:41:14,02:05:14,1440,A,450,754
88,精密灌装机1-2,精密灌装机,班组1,D,D2,80.000,01:41:14,02:05:14,1440,E,515,699
89,精密灌装机1-3,精密灌装机,班组1,D,D2,80.000,01:41:14,02:05:14,1440,E,515,699
90,精密灌装机1-4,精密灌装机,班组1,D,D2,80.000,01:41:14,02:05:14,1440,E,515,699
91,精密灌装机1-5,精密灌装机,班组1,D,D2,80.000,01:41:14,02:05:14,1440,A,450,754
92,精密灌装机2-1,精密灌装机,班组2,D,D2,80.000,01:41:14,02:05:14,1440,E,515,699
93,精密灌装机2-2,精密灌装机,班组2,D,D2,80.000,01:41:14,02:05:14,1440,E,515,699
94,精密灌装机2-3,精密灌装机,班组2,D,D2,80.000,01:41:14,02:05:14,1440,E,515,699
95,精密灌装机2-4,精密灌装机,班组2,D,D2,80.000,01:41:14,02:05:14,1440,A,450,754
96,精密灌装机2-5,精密灌装机,班组2,D,D2,80.000,01:41:14,02:05:14,1440,A,450,754
97,自动化输送臂1-1,自动化输送臂,班组1,D,D2,114.286,01:41:14,02:04:06,1372,A,450,1564
98,自动化输送臂1-2,自动化输送臂,班组1,D,D2,114.286,01:41:14,02:04:06,1372,A,450,1564
99,自动化输送臂1-3,自动化输送臂,班组1,D,D2,114.286,01:41:14,02:04:06,1372,A,450,1564
100,自动化输送臂1-4,自动化输送臂,班组1,D,D2,114.286,01:41:14,02:04:06,1372,A,450,1564
101,自动化输送臂2-1,自动化输送臂,班组2,D,D2,114.286,01:41:14,02:04:06,1372,A,450,1564
102,自动化输送臂2-2,自动化输送臂,班组2,D,D2,114.286,01:41:14,02:04:06,1372,A,450,1564
103,自动化输送臂2-3,自动化输送臂,班组2,D,D2,114.286,01:41:14,02:04:06,1372,A,450,1564
104,精密灌装机1-1,精密灌装机,班组1,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
105,精密灌装机1-2,精密灌装机,班组1,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
106,精密灌装机1-3,精密灌装机,班组1,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
107,精密灌装机1-4,精密灌装机,班组1,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
108,精密灌装机1-5,精密灌装机,班组1,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
109,精密灌装机2-1,精密灌装机,班组2,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
110,精密灌装机2-2,精密灌装机,班组2,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
111,精密灌装机2-3,精密灌装机,班组2,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
112,精密灌装机2-4,精密灌装机,班组2,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
113,精密灌装机2-5,精密灌装机,班组2,D,D3,45.000,02:05:14,02:12:57,463,D,0,0
114,精密灌装机1-1,精密灌装机,班组1,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
115,精密灌装机1-2,精密灌装机,班组1,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
116,精密灌装机1-3,精密灌装机,班组1,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
117,精密灌装机1-4,精密灌装机,班组1,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
118,精密灌装机1-5,精密灌装机,班组1,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
119,精密灌装机2-1,精密灌装机,班组2,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
120,精密灌装机2-2,精密灌装机,班组2,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
121,精密灌装机2-3,精密灌装机,班组2,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
122,精密灌装机2-4,精密灌装机,班组2,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
123,精密灌装机2-5,精密灌装机,班组2,B,B2,150.000,02:26:32,03:11:32,2700,D,815,0
124,自动化输送臂1-1,自动化输送臂,班组1,B,B2,214.286,02:26:32,03:09:24,2572,D,815,531
125,自动化输送臂1-2,自动化输送臂,班组1,B,B2,214.286,02:26:32,03:09:24,2572,D,815,531
126,自动化输送臂1-3,自动化输送臂,班组1,B,B2,214.286,02:26:32,03:09:24,2572,D,815,531
127,自动化输送臂1-4,自动化输送臂,班组1,B,B2,214.286,02:26:32,03:09:24,2572,D,815,531
128,自动化输送臂2-1,自动化输送臂,班组2,B,B2,214.286,02:26:32,03:09:24,2572,D,815,531
129,自动化输送臂2-2,自动化输送臂,班组2,B,B2,214.286,02:26:32,03:09:24,2572,D,815,531
130,自动化输送臂2-3,自动化输送臂,班组2,B,B2,214.286,02:26:32,03:09:24,2572,D,815,531
131,自动传感多功能机2-1,自动传感多功能机,班组2,D,D4,1500.000,02:34:15,07:34:15,18000,E,515,280
132,高速抛光机1-1,高速抛光机,班组1,D,D4,750.000,02:34:15,08:49:15,22500,C,260,0
133,高速抛光机2-1,高速抛光机,班组2,D,D4,750.000,02:34:15,08:49:15,22500,C,260,0
134,自动传感多功能机1-1,自动传感多功能机,班组1,C,C5-1,400.000,02:49:55,06:49:55,14400,E,425,1310
135,精密灌装机1-1,精密灌装机,班组1,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
136,精密灌装机1-2,精密灌装机,班组1,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
137,精密灌装机1-3,精密灌装机,班组1,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
138,精密灌装机1-4,精密灌装机,班组1,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
139,精密灌装机1-5,精密灌装机,班组1,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
140,精密灌装机2-1,精密灌装机,班组2,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
141,精密灌装机2-2,精密灌装机,班组2,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
142,精密灌装机2-3,精密灌装机,班组2,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
143,精密灌装机2-4,精密灌装机,班组2,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
144,精密灌装机2-5,精密灌装机,班组2,B,B3,36.000,03:11:32,03:17:43,371,B,0,0
145,精密灌装机1-1,精密灌装机,班组1,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
146,精密灌装机1-2,精密灌装机,班组1,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
147,精密灌装机1-3,精密灌装机,班组1,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
148,精密灌装机1-4,精密灌装机,班组1,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
149,精密灌装机1-5,精密灌装机,班组1,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
150,精密灌装机2-1,精密灌装机,班组2,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
151,精密灌装机2-2,精密灌装机,班组2,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
152,精密灌装机2-3,精密灌装机,班组2,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
153,精密灌装机2-4,精密灌装机,班组2,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
154,精密灌装机2-5,精密灌装机,班组2,C,C3-2,36.000,06:49:55,07:00:43,648,B,550,12182
155,自动化输送臂1-1,自动化输送臂,班组1,C,C3-2,45.000,06:49:55,07:00:43,648,B,550,12681
156,自动化输送臂1-2,自动化输送臂,班组1,C,C3-2,45.000,06:49:55,07:00:43,648,B,550,12681
157,自动化输送臂1-3,自动化输送臂,班组1,C,C3-2,45.000,06:49:55,07:00:43,648,B,550,12681
158,自动化输送臂1-4,自动化输送臂,班组1,C,C3-2,45.000,06:49:55,07:00:43,648,B,550,12681
159,自动化输送臂2-1,自动化输送臂,班组2,C,C3-2,45.000,06:49:55,07:00:43,648,B,550,12681
160,自动化输送臂2-2,自动化输送臂,班组2,C,C3-2,45.000,06:49:55,07:00:43,648,B,550,12681
161,自动化输送臂2-3,自动化输送臂,班组2,C,C3-2,45.000,06:49:55,07:00:43,648,B,550,12681
162,自动化输送臂2-4,自动化输送臂,班组2,C,C3-2,45.000,06:49:55,07:00:43,648,A,525,20010
163,自动传感多功能机1-1,自动传感多功能机,班组1,D,D5,750.000,08:49:15,11:19:15,9000,C,260,6900
164,自动传感多功能机2-1,自动传感多功能机,班组2,D,D5,750.000,08:49:15,11:19:15,9000,D,0,4500
165,工业清洗机1-3,工业清洗机,班组1,C,C4-2,80.000,08:53:35,09:41:35,2880,E,425,19530
166,工业清洗机1-4,工业清洗机,班组1,C,C4-2,80.000,08:53:35,09:41:35,2880,D,260,25681
167,工业清洗机2-1,工业清洗机,班组2,C,C4-2,80.000,08:53:35,09:41:35,2880,D,260,25681
168,工业清洗机2-2,工业清洗机,班组2,C,C4-2,80.000,08:53:35,09:41:35,2880,C,0,21820
169,工业清洗机2-4,工业清洗机,班组2,C,C4-2,80.000,08:53:35,09:41:35,2880,D,260,25681
170,高速抛光机1-1,高速抛光机,班组1,C,C4-2,200.000,08:53:35,10:33:35,6000,D,260,0
171,高速抛光机2-1,高速抛光机,班组2,C,C4-2,200.000,08:53:35,10:33:35,6000,D,260,0
172,工业清洗机1-2,工业清洗机,班组1,A,A2,250.000,10:42:20,11:42:20,3600,E,700,25780
173,工业清洗机2-4,工业清洗机,班组2,A,A2,250.000,10:42:20,11:42:20,3600,C,525,3120
174,高速抛光机1-1,高速抛光机,班组1,A,A2,250.000,10:42:20,13:12:20,9000,C,525,0
175,高速抛光机2-1,高速抛光机,班组2,A,A2,250.000,10:42:20,13:12:20,9000,C,525,0
176,自动传感多功能机1-1,自动传感多功能机,班组1,C,C5-2,200.000,11:23:35,13:23:35,7200,D,260,0
177,自动传感多功能机2-1,自动传感多功能机,班组2,C,C5-2,200.000,11:23:35,13:23:35,7200,D,260,0
178,精密灌装机1-1,精密灌装机,班组1,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
179,精密灌装机1-2,精密灌装机,班组1,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
180,精密灌装机1-3,精密灌装机,班组1,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
181,精密灌装机1-4,精密灌装机,班组1,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
182,精密灌装机1-5,精密灌装机,班组1,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
183,精密灌装机2-1,精密灌装机,班组2,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
184,精密灌装机2-2,精密灌装机,班组2,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
185,精密灌装机2-3,精密灌装机,班组2,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
186,精密灌装机2-4,精密灌装机,班组2,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
187,精密灌装机2-5,精密灌装机,班组2,C,C3-3,36.000,13:23:35,13:34:23,648,C,0,22972
188,自动化输送臂1-1,自动化输送臂,班组1,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
189,自动化输送臂1-2,自动化输送臂,班组1,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
190,自动化输送臂1-3,自动化输送臂,班组1,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
191,自动化输送臂1-4,自动化输送臂,班组1,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
192,自动化输送臂2-1,自动化输送臂,班组2,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
193,自动化输送臂2-2,自动化输送臂,班组2,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
194,自动化输送臂2-3,自动化输送臂,班组2,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
195,自动化输送臂2-4,自动化输送臂,班组2,C,C3-3,45.000,13:23:35,13:34:23,648,C,0,22972
196,自动传感多功能机1-1,自动传感多功能机,班组1,B,B4,180.000,13:32:45,15:20:45,6480,C,550,0
197,自动传感多功能机2-1,自动传感多功能机,班组2,B,B4,180.000,13:32:45,15:20:45,6480,C,550,0
198,高速抛光机1-1,高速抛光机,班组1,B,B4,180.000,13:32:45,15:02:45,5400,A,510,715
199,高速抛光机2-1,高速抛光机,班组2,B,B4,180.000,13:32:45,15:02:45,5400,A,510,715
200,工业清洗机1-1,工业清洗机,班组1,C,C4-3,44.444,15:11:55,15:38:35,1600,D,260,48381
201,工业清洗机1-2,工业清洗机,班组1,C,C4-3,44.444,15:11:55,15:38:35,1600,A,525,12050
202,工业清洗机1-3,工业清洗机,班组1,C,C4-3,44.444,15:11:55,15:38:35,1600,C,0,19820
203,工业清洗机1-5,工业清洗机,班组1,C,C4-3,44.444,15:11:55,15:38:35,1600,D,260,48381
204,工业清洗机2-1,工业清洗机,班组2,C,C4-3,44.444,15:11:55,15:38:35,1600,C,0,19820
205,工业清洗机2-2,工业清洗机,班组2,C,C4-3,44.444,15:11:55,15:38:35,1600,C,0,19820
206,工业清洗机2-3,工业清洗机,班组2,C,C4-3,44.444,15:11:55,15:38:35,1600,C,0,44520
207,工业清洗机2-4,工业清洗机,班组2,C,C4-3,44.444,15:11:55,15:38:35,1600,A,525,12050
208,工业清洗机2-5,工业清洗机,班组2,C,C4-3,44.444,15:11:55,15:38:35,1600,E,425,42230
209,高速抛光机1-1,高速抛光机,班组1,C,C4-3,200.000,15:11:55,16:51:55,6000,B,550,0
210,高速抛光机2-1,高速抛光机,班组2,C,C4-3,200.000,15:11:55,16:51:55,6000,B,550,0
211,自动传感多功能机1-1,自动传感多功能机,班组1,A,A3,250.000,15:29:15,17:59:15,9000,B,510,0
212,自动传感多功能机2-1,自动传感多功能机,班组2,A,A3,250.000,15:29:15,17:59:15,9000,B,510,0
213,高速抛光机1-1,高速抛光机,班组1,D,D6,350.000,16:56:15,20:26:15,12600,C,260,0
214,高速抛光机2-1,高速抛光机,班组2,D,D6,350.000,16:56:15,20:26:15,12600,C,260,0
215,自动传感多功能机1-1,自动传感多功能机,班组1,C,C5-3,200.000,18:08:00,20:08:00,7200,A,525,0
216,自动传感多功能机2-1,自动传感多功能机,班组2,C,C5-3,200.000,18:08:00,20:08:00,7200,A,525,0
