序号,设备编号,设备类型,设备来源,班组,车间,工序编号,分配工程量,起始时间,结束时间,持续工作时间(s),运输起点,运输时间(s),等待时间(s)
49,自动化输送臂2-2,自动化输送臂,原有,班组2,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
50,自动化输送臂2-3,自动化输送臂,原有,班组2,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
51,自动化输送臂2-4,自动化输送臂,原有,班组2,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
52,工业清洗机2-1,工业清洗机,原有,班组2,C,C4-1,80.000,00:48:48,01:36:48,2880,C,0,1466
53,工业清洗机2-2,工业清洗机,原有,班组2,C,C4-1,80.000,00:48:48,01:36:48,2880,C,0,1466
54,工业清洗机2-3,工业清洗机,原有,班组2,C,C4-1,80.000,00:48:48,01:36:48,2880,C,0,1466
55,工业清洗机2-4,工业清洗机,原有,班组2,C,C4-1,80.000,00:48:48,01:36:48,2880,C,0,1466
56,工业清洗机2-5,工业清洗机,原有,班组2,C,C4-1,80.000,00:48:48,01:36:48,2880,C,0,1466
57,高速抛光机1-1,高速抛光机,原有,班组1,C,C4-1,80.000,00:48:48,01:28:48,2400,班组1,230,2698
58,高速抛光机1-2,高速抛光机,购置,班组1,C,C4-1,80.000,00:48:48,01:28:48,2400,班组1,230,2698
59,高速抛光机1-3,高速抛光机,购置,班组1,C,C4-1,80.000,00:48:48,01:28:48,2400,班组1,230,2698
60,高速抛光机1-4,高速抛光机,购置,班组1,C,C4-1,80.000,00:48:48,01:28:48,2400,班组1,230,2698
61,高速抛光机2-1,高速抛光机,原有,班组2,C,C4-1,80.000,00:48:48,01:28:48,2400,班组2,310,2618
62,精密灌装机1-1,精密灌装机,原有,班组1,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
63,精密灌装机1-2,精密灌装机,原有,班组1,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
64,精密灌装机1-3,精密灌装机,原有,班组1,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
65,精密灌装机1-5,精密灌装机,原有,班组1,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
66,精密灌装机1-6,精密灌装机,购置,班组1,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
67,精密灌装机2-2,精密灌装机,原有,班组2,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
68,精密灌装机2-3,精密灌装机,原有,班组2,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
69,精密灌装机2-4,精密灌装机,原有,班组2,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
70,精密灌装机2-5,精密灌装机,原有,班组2,D,D2,88.889,00:57:30,01:24:10,1600,C,260,262
71,自动化输送臂1-2,自动化输送臂,原有,班组1,D,D2,133.333,00:57:30,01:24:10,1600,C,260,262
72,自动化输送臂1-3,自动化输送臂,原有,班组1,D,D2,133.333,00:57:30,01:24:10,1600,C,260,262
73,自动化输送臂2-1,自动化输送臂,原有,班组2,D,D2,133.333,00:57:30,01:24:10,1600,C,260,262
74,自动化输送臂2-2,自动化输送臂,原有,班组2,D,D2,133.333,00:57:30,01:24:10,1600,C,260,262
75,自动化输送臂2-3,自动化输送臂,原有,班组2,D,D2,133.333,00:57:30,01:24:10,1600,C,260,262
76,自动化输送臂2-4,自动化输送臂,原有,班组2,D,D2,133.333,00:57:30,01:24:10,1600,C,260,262
77,工业清洗机1-1,工业清洗机,原有,班组1,B,B1,40.000,01:11:05,01:35:05,1440,D,815,0
78,工业清洗机1-3,工业清洗机,原有,班组1,B,B1,40.000,01:11:05,01:35:05,1440,D,815,0
79,工业清洗机1-5,工业清洗机,原有,班组1,B,B1,40.000,01:11:05,01:35:05,1440,D,815,0
80,精密灌装机1-1,精密灌装机,原有,班组1,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
81,精密灌装机1-2,精密灌装机,原有,班组1,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
82,精密灌装机1-3,精密灌装机,原有,班组1,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
83,精密灌装机1-4,精密灌装机,原有,班组1,D,D3,40.909,01:24:10,01:31:11,421,C,260,1862
84,精密灌装机1-5,精密灌装机,原有,班组1,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
85,精密灌装机1-6,精密灌装机,购置,班组1,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
86,精密灌装机2-1,精密灌装机,原有,班组2,D,D3,40.909,01:24:10,01:31:11,421,C,260,2510
87,精密灌装机2-2,精密灌装机,原有,班组2,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
88,精密灌装机2-3,精密灌装机,原有,班组2,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
89,精密灌装机2-4,精密灌装机,原有,班组2,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
90,精密灌装机2-5,精密灌装机,原有,班组2,D,D3,40.909,01:24:10,01:31:11,421,D,0,0
91,自动传感多功能机1-1,自动传感多功能机,原有,班组1,D,D4,300.000,01:33:08,02:33:08,3600,班组1,355,5233
92,自动传感多功能机2-1,自动传感多功能机,原有,班组2,D,D4,300.000,01:33:08,02:33:08,3600,班组2,340,5248
93,自动传感多功能机2-2,自动传感多功能机,购置,班组2,D,D4,300.000,01:33:08,02:33:08,3600,班组2,340,5248
94,自动传感多功能机2-3,自动传感多功能机,购置,班组2,D,D4,300.000,01:33:08,02:33:08,3600,班组2,340,5248
95,自动传感多功能机2-4,自动传感多功能机,购置,班组2,D,D4,300.000,01:33:08,02:33:08,3600,班组2,340,5248
96,高速抛光机1-1,高速抛光机,原有,班组1,D,D4,300.000,01:33:08,04:03:08,9000,C,260,0
97,高速抛光机1-2,高速抛光机,购置,班组1,D,D4,300.000,01:33:08,04:03:08,9000,C,260,0
98,高速抛光机1-3,高速抛光机,购置,班组1,D,D4,300.000,01:33:08,04:03:08,9000,C,260,0
99,高速抛光机1-4,高速抛光机,购置,班组1,D,D4,300.000,01:33:08,04:03:08,9000,C,260,0
100,高速抛光机2-1,高速抛光机,原有,班组2,D,D4,300.000,01:33:08,04:03:08,9000,C,260,0
101,精密灌装机2-1,精密灌装机,原有,班组2,A,A1,300.000,01:38:41,03:08:41,5400,D,450,0
102,自动化输送臂1-4,自动化输送臂,原有,班组1,A,A1,300.000,01:38:41,02:50:41,4320,C,525,2468
103,工业清洗机1-1,工业清洗机,原有,班组1,E,E1,111.111,01:43:53,02:10:33,1600,B,360,168
104,工业清洗机1-2,工业清洗机,原有,班组1,E,E1,111.111,01:43:53,02:10:33,1600,D,515,2268
105,工业清洗机1-4,工业清洗机,原有,班组1,E,E1,111.111,01:43:53,02:10:33,1600,D,515,2268
106,工业清洗机1-5,工业清洗机,原有,班组1,E,E1,111.111,01:43:53,02:10:33,1600,B,360,168
107,工业清洗机2-1,工业清洗机,原有,班组2,E,E1,111.111,01:43:53,02:10:33,1600,C,425,0
108,工业清洗机2-2,工业清洗机,原有,班组2,E,E1,111.111,01:43:53,02:10:33,1600,C,425,0
109,工业清洗机2-3,工业清洗机,原有,班组2,E,E1,111.111,01:43:53,02:10:33,1600,C,425,0
110,工业清洗机2-4,工业清洗机,原有,班组2,E,E1,111.111,01:43:53,02:10:33,1600,C,425,0
111,工业清洗机2-5,工业清洗机,原有,班组2,E,E1,111.111,01:43:53,02:10:33,1600,C,425,0
112,精密灌装机1-2,精密灌装机,原有,班组1,E,E2,100.000,02:10:33,02:27:42,1029,D,515,1847
113,精密灌装机1-5,精密灌装机,原有,班组1,E,E2,100.000,02:10:33,02:27:42,1029,D,515,1847
114,精密灌装机1-6,精密灌装机,购置,班组1,E,E2,100.000,02:10:33,02:27:42,1029,D,515,1847
115,精密灌装机2-3,精密灌装机,原有,班组2,E,E2,100.000,02:10:33,02:27:42,1029,D,515,1847
116,精密灌装机2-4,精密灌装机,原有,班组2,E,E2,100.000,02:10:33,02:27:42,1029,D,515,1847
117,精密灌装机2-5,精密灌装机,原有,班组2,E,E2,100.000,02:10:33,02:27:42,1029,D,515,1847
118,精密灌装机1-2,精密灌装机,原有,班组1,B,B2,187.500,02:33:42,03:29:57,3375,E,360,0
119,精密灌装机1-3,精密灌装机,原有,班组1,B,B2,187.500,02:33:42,03:29:57,3375,D,815,2936
120,精密灌装机1-4,精密灌装机,原有,班组1,B,B2,187.500,02:33:42,03:29:57,3375,D,815,2936
121,精密灌装机1-5,精密灌装机,原有,班组1,B,B2,187.500,02:33:42,03:29:57,3375,E,360,0
122,精密灌装机1-6,精密灌装机,购置,班组1,B,B2,187.500,02:33:42,03:29:57,3375,E,360,0
123,精密灌装机2-2,精密灌装机,原有,班组2,B,B2,187.500,02:33:42,03:29:57,3375,D,815,2936
124,精密灌装机2-3,精密灌装机,原有,班组2,B,B2,187.500,02:33:42,03:29:57,3375,E,360,0
125,精密灌装机2-5,精密灌装机,原有,班组2,B,B2,187.500,02:33:42,03:29:57,3375,E,360,0
126,自动化输送臂1-1,自动化输送臂,原有,班组1,B,B2,300.000,02:33:42,03:33:42,3600,C,550,5744
127,自动化输送臂1-2,自动化输送臂,原有,班组1,B,B2,300.000,02:33:42,03:33:42,3600,D,815,3357
128,自动化输送臂1-3,自动化输送臂,原有,班组1,B,B2,300.000,02:33:42,03:33:42,3600,D,815,3357
129,自动化输送臂2-1,自动化输送臂,原有,班组2,B,B2,300.000,02:33:42,03:33:42,3600,D,815,3357
130,自动化输送臂2-2,自动化输送臂,原有,班组2,B,B2,300.000,02:33:42,03:33:42,3600,D,815,3357
131,自动传感多功能机2-1,自动传感多功能机,原有,班组2,C,C5-1,133.333,02:37:28,03:57:28,4800,D,260,0
132,自动传感多功能机2-2,自动传感多功能机,购置,班组2,C,C5-1,133.333,02:37:28,03:57:28,4800,D,260,0
133,自动传感多功能机2-3,自动传感多功能机,购置,班组2,C,C5-1,133.333,02:37:28,03:57:28,4800,D,260,0
134,工业清洗机1-2,工业清洗机,原有,班组1,E,E3,120.000,02:41:43,03:53:43,4320,E,0,1870
135,工业清洗机1-3,工业清洗机,原有,班组1,E,E3,120.000,02:41:43,03:53:43,4320,B,360,3638
136,工业清洗机1-4,工业清洗机,原有,班组1,E,E3,120.000,02:41:43,03:53:43,4320,E,0,1870
137,工业清洗机2-1,工业清洗机,原有,班组2,E,E3,120.000,02:41:43,03:53:43,4320,E,0,1870
138,工业清洗机2-3,工业清洗机,原有,班组2,E,E3,120.000,02:41:43,03:53:43,4320,E,0,1870
139,自动传感多功能机1-1,自动传感多功能机,原有,班组1,E,E3,300.000,02:41:43,03:41:43,3600,D,515,0
140,自动传感多功能机2-4,自动传感多功能机,购置,班组2,E,E3,300.000,02:41:43,03:41:43,3600,D,515,0
141,精密灌装机1-3,精密灌装机,原有,班组1,B,B3,90.000,03:33:42,03:49:08,926,B,0,225
142,精密灌装机2-2,精密灌装机,原有,班组2,B,B3,90.000,03:33:42,03:49:08,926,B,0,225
143,精密灌装机2-3,精密灌装机,原有,班组2,B,B3,90.000,03:33:42,03:49:08,926,B,0,225
144,精密灌装机2-5,精密灌装机,原有,班组2,B,B3,90.000,03:33:42,03:49:08,926,B,0,225
145,精密灌装机1-2,精密灌装机,原有,班组1,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,1151
146,精密灌装机1-3,精密灌装机,原有,班组1,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,0
147,精密灌装机1-4,精密灌装机,原有,班组1,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,1151
148,精密灌装机1-5,精密灌装机,原有,班组1,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,1151
149,精密灌装机1-6,精密灌装机,购置,班组1,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,1151
150,精密灌装机2-1,精密灌装机,原有,班组2,C,C3-2,36.000,03:58:18,04:09:06,648,A,525,2452
151,精密灌装机2-2,精密灌装机,原有,班组2,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,0
152,精密灌装机2-3,精密灌装机,原有,班组2,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,0
153,精密灌装机2-4,精密灌装机,原有,班组2,C,C3-2,36.000,03:58:18,04:09:06,648,E,425,5011
154,精密灌装机2-5,精密灌装机,原有,班组2,C,C3-2,36.000,03:58:18,04:09:06,648,B,550,0
155,自动化输送臂1-1,自动化输送臂,原有,班组1,C,C3-2,45.000,03:58:18,04:09:06,648,B,550,926
156,自动化输送臂1-2,自动化输送臂,原有,班组1,C,C3-2,45.000,03:58:18,04:09:06,648,B,550,926
157,自动化输送臂1-3,自动化输送臂,原有,班组1,C,C3-2,45.000,03:58:18,04:09:06,648,B,550,926
158,自动化输送臂1-4,自动化输送臂,原有,班组1,C,C3-2,45.000,03:58:18,04:09:06,648,A,525,3532
159,自动化输送臂2-1,自动化输送臂,原有,班组2,C,C3-2,45.000,03:58:18,04:09:06,648,B,550,926
160,自动化输送臂2-2,自动化输送臂,原有,班组2,C,C3-2,45.000,03:58:18,04:09:06,648,B,550,926
161,自动化输送臂2-3,自动化输送臂,原有,班组2,C,C3-2,45.000,03:58:18,04:09:06,648,D,260,8988
162,自动化输送臂2-4,自动化输送臂,原有,班组2,C,C3-2,45.000,03:58:18,04:09:06,648,D,260,8988
163,自动传感多功能机2-1,自动传感多功能机,原有,班组2,D,D5,375.000,04:03:08,05:18:08,4500,C,260,80
164,自动传感多功能机2-2,自动传感多功能机,购置,班组2,D,D5,375.000,04:03:08,05:18:08,4500,C,260,80
165,自动传感多功能机2-3,自动传感多功能机,购置,班组2,D,D5,375.000,04:03:08,05:18:08,4500,C,260,80
166,自动传感多功能机2-4,自动传感多功能机,购置,班组2,D,D5,375.000,04:03:08,05:18:08,4500,E,515,770
167,工业清洗机1-3,工业清洗机,原有,班组1,C,C4-2,80.000,04:09:06,04:57:06,2880,E,425,498
168,工业清洗机2-1,工业清洗机,原有,班组2,C,C4-2,80.000,04:09:06,04:57:06,2880,E,425,498
169,工业清洗机2-2,工业清洗机,原有,班组2,C,C4-2,80.000,04:09:06,04:57:06,2880,E,425,6688
170,工业清洗机2-4,工业清洗机,原有,班组2,C,C4-2,80.000,04:09:06,04:57:06,2880,E,425,6688
171,工业清洗机2-5,工业清洗机,原有,班组2,C,C4-2,80.000,04:09:06,04:57:06,2880,E,425,6688
172,高速抛光机1-1,高速抛光机,原有,班组1,C,C4-2,100.000,04:09:06,04:59:06,3000,D,260,98
173,高速抛光机1-2,高速抛光机,购置,班组1,C,C4-2,100.000,04:09:06,04:59:06,3000,D,260,98
174,高速抛光机1-3,高速抛光机,购置,班组1,C,C4-2,100.000,04:09:06,04:59:06,3000,D,260,98
175,高速抛光机2-1,高速抛光机,原有,班组2,C,C4-2,100.000,04:09:06,04:59:06,3000,D,260,98
176,自动传感多功能机1-1,自动传感多功能机,原有,班组1,B,B4,360.000,04:16:43,07:52:43,12960,E,360,1740
177,高速抛光机1-4,高速抛光机,购置,班组1,B,B4,360.000,04:16:43,07:16:43,10800,D,815,0
178,工业清洗机1-1,工业清洗机,原有,班组1,A,A2,62.500,05:07:51,05:22:51,900,E,700,9938
179,工业清洗机1-2,工业清洗机,原有,班组1,A,A2,62.500,05:07:51,05:22:51,900,E,700,3748
180,工业清洗机1-3,工业清洗机,原有,班组1,A,A2,62.500,05:07:51,05:22:51,900,C,525,120
181,工业清洗机1-4,工业清洗机,原有,班组1,A,A2,62.500,05:07:51,05:22:51,900,E,700,3748
182,工业清洗机2-1,工业清洗机,原有,班组2,A,A2,62.500,05:07:51,05:22:51,900,C,525,120
183,工业清洗机2-2,工业清洗机,原有,班组2,A,A2,62.500,05:07:51,05:22:51,900,C,525,120
184,工业清洗机2-4,工业清洗机,原有,班组2,A,A2,62.500,05:07:51,05:22:51,900,C,525,120
185,工业清洗机2-5,工业清洗机,原有,班组2,A,A2,62.500,05:07:51,05:22:51,900,C,525,120
186,高速抛光机1-1,高速抛光机,原有,班组1,A,A2,125.000,05:07:51,06:22:51,4500,C,525,0
187,高速抛光机1-2,高速抛光机,购置,班组1,A,A2,125.000,05:07:51,06:22:51,4500,C,525,0
188,高速抛光机1-3,高速抛光机,购置,班组1,A,A2,125.000,05:07:51,06:22:51,4500,C,525,0
189,高速抛光机2-1,高速抛光机,原有,班组2,A,A2,125.000,05:07:51,06:22:51,4500,C,525,0
190,自动传感多功能机2-1,自动传感多功能机,原有,班组2,C,C5-2,100.000,05:22:28,06:22:28,3600,D,260,0
191,自动传感多功能机2-2,自动传感多功能机,购置,班组2,C,C5-2,100.000,05:22:28,06:22:28,3600,D,260,0
192,自动传感多功能机2-3,自动传感多功能机,购置,班组2,C,C5-2,100.000,05:22:28,06:22:28,3600,D,260,0
193,自动传感多功能机2-4,自动传感多功能机,购置,班组2,C,C5-2,100.000,05:22:28,06:22:28,3600,D,260,0
194,精密灌装机1-1,精密灌装机,原有,班组1,C,C3-3,45.000,06:22:28,06:35:58,810,D,260,17217
195,精密灌装机1-2,精密灌装机,原有,班组1,C,C3-3,45.000,06:22:28,06:35:58,810,C,0,8002
196,精密灌装机1-6,精密灌装机,购置,班组1,C,C3-3,45.000,06:22:28,06:35:58,810,C,0,8002
197,精密灌装机2-1,精密灌装机,原有,班组2,C,C3-3,45.000,06:22:28,06:35:58,810,C,0,8002
198,精密灌装机2-2,精密灌装机,原有,班组2,C,C3-3,45.000,06:22:28,06:35:58,810,C,0,8002
199,精密灌装机2-3,精密灌装机,原有,班组2,C,C3-3,45.000,06:22:28,06:35:58,810,C,0,8002
200,精密灌装机2-4,精密灌装机,原有,班组2,C,C3-3,45.000,06:22:28,06:35:58,810,C,0,8002
201,精密灌装机2-5,精密灌装机,原有,班组2,C,C3-3,45.000,06:22:28,06:35:58,810,C,0,8002
202,自动化输送臂1-1,自动化输送臂,原有,班组1,C,C3-3,51.429,06:22:28,06:34:49,741,C,0,8002
203,自动化输送臂1-2,自动化输送臂,原有,班组1,C,C3-3,51.429,06:22:28,06:34:49,741,C,0,8002
204,自动化输送臂1-3,自动化输送臂,原有,班组1,C,C3-3,51.429,06:22:28,06:34:49,741,C,0,8002
205,自动化输送臂2-1,自动化输送臂,原有,班组2,C,C3-3,51.429,06:22:28,06:34:49,741,C,0,8002
206,自动化输送臂2-2,自动化输送臂,原有,班组2,C,C3-3,51.429,06:22:28,06:34:49,741,C,0,8002
207,自动化输送臂2-3,自动化输送臂,原有,班组2,C,C3-3,51.429,06:22:28,06:34:49,741,C,0,8002
208,自动化输送臂2-4,自动化输送臂,原有,班组2,C,C3-3,51.429,06:22:28,06:34:49,741,C,0,8002
209,自动传感多功能机2-1,自动传感多功能机,原有,班组2,A,A3,125.000,06:31:13,07:46:13,4500,C,525,0
210,自动传感多功能机2-2,自动传感多功能机,购置,班组2,A,A3,125.000,06:31:13,07:46:13,4500,C,525,0
211,自动传感多功能机2-3,自动传感多功能机,购置,班组2,A,A3,125.000,06:31:13,07:46:13,4500,C,525,0
212,自动传感多功能机2-4,自动传感多功能机,购置,班组2,A,A3,125.000,06:31:13,07:46:13,4500,C,525,0
213,工业清洗机1-4,工业清洗机,原有,班组1,C,C4-3,100.000,06:35:58,07:35:58,3600,A,525,3862
214,工业清洗机1-5,工业清洗机,原有,班组1,C,C4-3,100.000,06:35:58,07:35:58,3600,E,425,15500
215,工业清洗机2-2,工业清洗机,原有,班组2,C,C4-3,100.000,06:35:58,07:35:58,3600,A,525,3862
216,工业清洗机2-5,工业清洗机,原有,班组2,C,C4-3,100.000,06:35:58,07:35:58,3600,A,525,3862
217,高速抛光机1-1,高速抛光机,原有,班组1,C,C4-3,100.000,06:35:58,07:25:58,3000,A,525,262
218,高速抛光机1-2,高速抛光机,购置,班组1,C,C4-3,100.000,06:35:58,07:25:58,3000,A,525,262
219,高速抛光机1-3,高速抛光机,购置,班组1,C,C4-3,100.000,06:35:58,07:25:58,3000,A,525,262
220,高速抛光机2-1,高速抛光机,原有,班组2,C,C4-3,100.000,06:35:58,07:25:58,3000,A,525,262
221,高速抛光机1-1,高速抛光机,原有,班组1,D,D6,140.000,07:30:18,08:54:18,5040,C,260,0
222,高速抛光机1-2,高速抛光机,购置,班组1,D,D6,140.000,07:30:18,08:54:18,5040,C,260,0
223,高速抛光机1-3,高速抛光机,购置,班组1,D,D6,140.000,07:30:18,08:54:18,5040,C,260,0
224,高速抛光机1-4,高速抛光机,购置,班组1,D,D6,140.000,07:30:18,08:54:18,5040,B,815,0
225,高速抛光机2-1,高速抛光机,原有,班组2,D,D6,140.000,07:30:18,08:54:18,5040,C,260,0
226,自动传感多功能机1-1,自动传感多功能机,原有,班组1,C,C5-3,80.000,08:01:53,08:49:53,2880,B,550,0
227,自动传感多功能机2-1,自动传感多功能机,原有,班组2,C,C5-3,80.000,08:01:53,08:49:53,2880,A,525,415
228,自动传感多功能机2-2,自动传感多功能机,购置,班组2,C,C5-3,80.000,08:01:53,08:49:53,2880,A,525,415
229,自动传感多功能机2-3,自动传感多功能机,购置,班组2,C,C5-3,80.000,08:01:53,08:49:53,2880,A,525,415
230,自动传感多功能机2-4,自动传感多功能机,购置,班组2,C,C5-3,80.000,08:01:53,08:49:53,2880,A,525,415
