序号,设备编号,起始时间,结束时间,持续工作时间(s),工序编号,班组
128,自动化输送臂1-3,02:33:42,03:33:42,3600,B2,班组1
129,自动化输送臂2-1,02:33:42,03:33:42,3600,B2,班组2
130,自动化输送臂2-2,02:33:42,03:33:42,3600,B2,班组2
131,自动传感多功能机2-1,02:37:28,03:57:28,4800,C5-1,班组2
132,自动传感多功能机2-2,02:37:28,03:57:28,4800,C5-1,班组2
133,自动传感多功能机2-3,02:37:28,03:57:28,4800,C5-1,班组2
134,工业清洗机1-2,02:41:43,03:53:43,4320,E3,班组1
135,工业清洗机1-3,02:41:43,03:53:43,4320,E3,班组1
136,工业清洗机1-4,02:41:43,03:53:43,4320,E3,班组1
137,工业清洗机2-1,02:41:43,03:53:43,4320,E3,班组2
138,工业清洗机2-3,02:41:43,03:53:43,4320,E3,班组2
139,自动传感多功能机1-1,02:41:43,03:41:43,3600,E3,班组1
140,自动传感多功能机2-4,02:41:43,03:41:43,3600,E3,班组2
141,精密灌装机1-3,03:33:42,03:49:08,926,B3,班组1
142,精密灌装机2-2,03:33:42,03:49:08,926,B3,班组2
143,精密灌装机2-3,03:33:42,03:49:08,926,B3,班组2
144,精密灌装机2-5,03:33:42,03:49:08,926,B3,班组2
145,精密灌装机1-2,03:58:18,04:09:06,648,C3-2,班组1
146,精密灌装机1-3,03:58:18,04:09:06,648,C3-2,班组1
147,精密灌装机1-4,03:58:18,04:09:06,648,C3-2,班组1
148,精密灌装机1-5,03:58:18,04:09:06,648,C3-2,班组1
149,精密灌装机1-6,03:58:18,04:09:06,648,C3-2,班组1
150,精密灌装机2-1,03:58:18,04:09:06,648,C3-2,班组2
151,精密灌装机2-2,03:58:18,04:09:06,648,C3-2,班组2
152,精密灌装机2-3,03:58:18,04:09:06,648,C3-2,班组2
153,精密灌装机2-4,03:58:18,04:09:06,648,C3-2,班组2
154,精密灌装机2-5,03:58:18,04:09:06,648,C3-2,班组2
155,自动化输送臂1-1,03:58:18,04:09:06,648,C3-2,班组1
156,自动化输送臂1-2,03:58:18,04:09:06,648,C3-2,班组1
157,自动化输送臂1-3,03:58:18,04:09:06,648,C3-2,班组1
158,自动化输送臂1-4,03:58:18,04:09:06,648,C3-2,班组1
159,自动化输送臂2-1,03:58:18,04:09:06,648,C3-2,班组2
160,自动化输送臂2-2,03:58:18,04:09:06,648,C3-2,班组2
161,自动化输送臂2-3,03:58:18,04:09:06,648,C3-2,班组2
162,自动化输送臂2-4,03:58:18,04:09:06,648,C3-2,班组2
163,自动传感多功能机2-1,04:03:08,05:18:08,4500,D5,班组2
164,自动传感多功能机2-2,04:03:08,05:18:08,4500,D5,班组2
165,自动传感多功能机2-3,04:03:08,05:18:08,4500,D5,班组2
166,自动传感多功能机2-4,04:03:08,05:18:08,4500,D5,班组2
167,工业清洗机1-3,04:09:06,04:57:06,2880,C4-2,班组1
168,工业清洗机2-1,04:09:06,04:57:06,2880,C4-2,班组2
169,工业清洗机2-2,04:09:06,04:57:06,2880,C4-2,班组2
170,工业清洗机2-4,04:09:06,04:57:06,2880,C4-2,班组2
171,工业清洗机2-5,04:09:06,04:57:06,2880,C4-2,班组2
172,高速抛光机1-1,04:09:06,04:59:06,3000,C4-2,班组1
173,高速抛光机1-2,04:09:06,04:59:06,3000,C4-2,班组1
174,高速抛光机1-3,04:09:06,04:59:06,3000,C4-2,班组1
175,高速抛光机2-1,04:09:06,04:59:06,3000,C4-2,班组2
176,自动传感多功能机1-1,04:16:43,07:52:43,12960,B4,班组1
177,高速抛光机1-4,04:16:43,07:16:43,10800,B4,班组1
178,工业清洗机1-1,05:07:51,05:22:51,900,A2,班组1
179,工业清洗机1-2,05:07:51,05:22:51,900,A2,班组1
180,工业清洗机1-3,05:07:51,05:22:51,900,A2,班组1
181,工业清洗机1-4,05:07:51,05:22:51,900,A2,班组1
182,工业清洗机2-1,05:07:51,05:22:51,900,A2,班组2
183,工业清洗机2-2,05:07:51,05:22:51,900,A2,班组2
184,工业清洗机2-4,05:07:51,05:22:51,900,A2,班组2
185,工业清洗机2-5,05:07:51,05:22:51,900,A2,班组2
186,高速抛光机1-1,05:07:51,06:22:51,4500,A2,班组1
187,高速抛光机1-2,05:07:51,06:22:51,4500,A2,班组1
188,高速抛光机1-3,05:07:51,06:22:51,4500,A2,班组1
189,高速抛光机2-1,05:07:51,06:22:51,4500,A2,班组2
190,自动传感多功能机2-1,05:22:28,06:22:28,3600,C5-2,班组2
191,自动传感多功能机2-2,05:22:28,06:22:28,3600,C5-2,班组2
192,自动传感多功能机2-3,05:22:28,06:22:28,3600,C5-2,班组2
193,自动传感多功能机2-4,05:22:28,06:22:28,3600,C5-2,班组2
194,精密灌装机1-1,06:22:28,06:35:58,810,C3-3,班组1
195,精密灌装机1-2,06:22:28,06:35:58,810,C3-3,班组1
196,精密灌装机1-6,06:22:28,06:35:58,810,C3-3,班组1
197,精密灌装机2-1,06:22:28,06:35:58,810,C3-3,班组2
198,精密灌装机2-2,06:22:28,06:35:58,810,C3-3,班组2
199,精密灌装机2-3,06:22:28,06:35:58,810,C3-3,班组2
200,精密灌装机2-4,06:22:28,06:35:58,810,C3-3,班组2
201,精密灌装机2-5,06:22:28,06:35:58,810,C3-3,班组2
202,自动化输送臂1-1,06:22:28,06:34:49,741,C3-3,班组1
203,自动化输送臂1-2,06:22:28,06:34:49,741,C3-3,班组1
204,自动化输送臂1-3,06:22:28,06:34:49,741,C3-3,班组1
205,自动化输送臂2-1,06:22:28,06:34:49,741,C3-3,班组2
206,自动化输送臂2-2,06:22:28,06:34:49,741,C3-3,班组2
207,自动化输送臂2-3,06:22:28,06:34:49,741,C3-3,班组2
208,自动化输送臂2-4,06:22:28,06:34:49,741,C3-3,班组2
209,自动传感多功能机2-1,06:31:13,07:46:13,4500,A3,班组2
210,自动传感多功能机2-2,06:31:13,07:46:13,4500,A3,班组2
211,自动传感多功能机2-3,06:31:13,07:46:13,4500,A3,班组2
212,自动传感多功能机2-4,06:31:13,07:46:13,4500,A3,班组2
213,工业清洗机1-4,06:35:58,07:35:58,3600,C4-3,班组1
214,工业清洗机1-5,06:35:58,07:35:58,3600,C4-3,班组1
215,工业清洗机2-2,06:35:58,07:35:58,3600,C4-3,班组2
216,工业清洗机2-5,06:35:58,07:35:58,3600,C4-3,班组2
217,高速抛光机1-1,06:35:58,07:25:58,3000,C4-3,班组1
218,高速抛光机1-2,06:35:58,07:25:58,3000,C4-3,班组1
219,高速抛光机1-3,06:35:58,07:25:58,3000,C4-3,班组1
220,高速抛光机2-1,06:35:58,07:25:58,3000,C4-3,班组2
221,高速抛光机1-1,07:30:18,08:54:18,5040,D6,班组1
222,高速抛光机1-2,07:30:18,08:54:18,5040,D6,班组1
223,高速抛光机1-3,07:30:18,08:54:18,5040,D6,班组1
224,高速抛光机1-4,07:30:18,08:54:18,5040,D6,班组1
225,高速抛光机2-1,07:30:18,08:54:18,5040,D6,班组2
226,自动传感多功能机1-1,08:01:53,08:49:53,2880,C5-3,班组1
227,自动传感多功能机2-1,08:01:53,08:49:53,2880,C5-3,班组2
228,自动传感多功能机2-2,08:01:53,08:49:53,2880,C5-3,班组2
229,自动传感多功能机2-3,08:01:53,08:49:53,2880,C5-3,班组2
230,自动传感多功能机2-4,08:01:53,08:49:53,2880,C5-3,班组2
